field,fieldtype,from,fromString,to,toString,key,created,author,project
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-59,2019-03-13T13:12:42.693+0100,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-59,2019-03-13T16:12:22.565+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-59,2019-03-13T16:12:22.565+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-59,2019-03-13T16:45:23.875+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-59,2019-03-13T16:45:25.154+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-59,2019-03-13T16:45:25.154+0100,thomasschwengler,PAINTROID
reporter,jira,thomasschwengler,Thomas Schwengler,wslany,Wolfgang Slany,PAINTROID-59,2019-03-15T12:42:06.500+0100,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-59,2019-03-27T11:46:54.708+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-59,2019-03-27T11:46:54.708+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-59,2019-03-28T15:42:16.195+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-59,2019-03-28T15:42:17.630+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-59,2019-03-28T15:42:17.630+0100,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-59,2019-04-18T15:20:33.543+0200,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-59,2019-04-18T15:23:21.801+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-59,2019-04-18T15:23:21.801+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-59,2019-04-18T15:23:21.801+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-59,2019-05-24T18:53:39.089+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-58,2019-03-01T18:49:35.881+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-58,2019-03-01T18:49:37.344+0100,thomasschwengler,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-58,2019-03-14T09:53:30.748+0100,sebastiangrief,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-58,2019-03-14T09:53:30.748+0100,sebastiangrief,PAINTROID
Developer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-58,2019-03-14T09:53:30.748+0100,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-58,2019-03-15T11:15:18.085+0100,sebastiangrief,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-58,2019-03-15T11:15:18.085+0100,sebastiangrief,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-58,2019-03-15T11:21:23.878+0100,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-58,2019-03-15T11:21:23.878+0100,christophbinder,PAINTROID
Developer,custom,sebastiangrief,Sebastian Grief,christophbinder,Christoph Binder,PAINTROID-58,2019-03-15T11:21:23.878+0100,christophbinder,PAINTROID
reporter,jira,thomasschwengler,Thomas Schwengler,wslany,Wolfgang Slany,PAINTROID-58,2019-03-15T12:41:51.290+0100,thomasschwengler,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-58,2019-04-05T16:22:19.079+0200,christophbinder,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-58,2019-04-05T16:22:19.079+0200,christophbinder,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-58,2019-04-08T11:18:30.631+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-58,2019-04-08T11:18:30.631+0200,tobiasstangl,PAINTROID
Developer,custom,christophbinder,Christoph Binder,tobiasstangl,Tobias Stangl,PAINTROID-58,2019-04-08T11:18:30.631+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-58,2019-04-08T17:22:46.497+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-58,2019-04-08T17:22:46.497+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-58,2019-04-09T10:37:47.372+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-58,2019-04-09T10:37:48.392+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-58,2019-04-09T10:37:48.392+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-58,2019-04-09T10:37:48.392+0200,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-58,2019-04-30T16:10:14.795+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-58,2019-04-30T16:10:14.795+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-58,2019-04-30T16:19:33.113+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-58,2019-04-30T16:19:33.967+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-58,2019-04-30T16:19:33.967+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-58,2019-05-01T13:46:13.957+0200,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-58,2019-05-01T13:50:36.021+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-58,2019-05-01T13:50:36.021+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-58,2019-05-01T13:50:36.021+0200,matthiasmueller,PAINTROID
Rank,custom,,,,Ranked lower,PAINTROID-58,2019-05-21T04:13:29.787+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-58,2019-05-24T18:53:39.370+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-57,2019-03-01T18:45:31.317+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-57,2019-03-01T18:45:36.554+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-57,2019-03-02T10:42:25.457+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-57,2019-03-02T10:42:25.457+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-57,2019-03-02T10:42:25.457+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-57,2019-03-02T15:31:47.833+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-57,2019-03-02T15:31:47.833+0100,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-57,2019-03-11T10:46:09.081+0100,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-57,2019-03-11T10:46:09.081+0100,tobiasstangl,PAINTROID
Developer,custom,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-57,2019-03-11T10:46:09.081+0100,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-57,2019-03-12T15:36:02.206+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-57,2019-03-12T15:36:02.206+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-57,2019-03-13T19:52:27.475+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-57,2019-03-13T19:52:28.459+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-57,2019-03-13T19:52:28.459+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-57,2019-03-13T19:52:28.459+0100,thomasschwengler,PAINTROID
reporter,jira,thomasschwengler,Thomas Schwengler,wslany,Wolfgang Slany,PAINTROID-57,2019-03-15T12:42:19.972+0100,thomasschwengler,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-57,2019-03-27T12:55:24.210+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-57,2019-03-27T12:55:24.210+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-57,2019-03-28T15:47:55.017+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-57,2019-03-28T15:47:56.224+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-57,2019-03-28T15:47:56.224+0100,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-57,2019-04-18T15:32:32.347+0200,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-57,2019-04-18T15:37:03.793+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-57,2019-04-18T15:37:03.793+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-57,2019-04-18T15:37:03.793+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-57,2019-05-24T18:53:38.942+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-56,2019-02-15T12:32:10.859+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-56,2019-02-15T12:32:11.803+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10612,Bug Backlog,PAINTROID-56,2019-02-17T15:59:51.760+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10212,Rejected,PAINTROID-56,2019-02-18T19:00:22.972+0100,wslany,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-55,2019-02-15T12:32:07.705+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-55,2019-02-15T12:32:08.726+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-55,2019-02-15T15:55:18.576+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-55,2019-02-15T15:55:18.576+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-55,2019-02-15T15:55:18.576+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-55,2019-02-17T14:53:32.464+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-55,2019-02-17T14:53:32.464+0100,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-55,2019-02-22T09:21:23.039+0100,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,,,PAINTROID-55,2019-02-22T09:21:25.465+0100,matthiasmueller,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-55,2019-02-22T09:21:25.465+0100,matthiasmueller,PAINTROID
Code Reviewer,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-55,2019-02-22T09:21:25.465+0100,matthiasmueller,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-55,2019-02-22T09:21:44.149+0100,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-55,2019-02-22T09:23:27.494+0100,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-55,2019-02-22T09:23:27.494+0100,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-55,2019-02-22T09:23:27.494+0100,matthiasmueller,PAINTROID
Fix Version,jira,,,13406,2.3.0,PAINTROID-55,2019-03-04T15:38:33.539+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-54,2019-02-15T12:32:02.202+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-54,2019-02-15T12:32:04.826+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-54,2019-02-15T13:25:08.643+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-54,2019-02-15T13:25:08.643+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-54,2019-02-15T13:25:08.643+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-54,2019-02-15T15:27:59.089+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-54,2019-02-15T15:27:59.089+0100,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-54,2019-02-22T09:13:12.651+0100,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,,,PAINTROID-54,2019-02-22T09:13:14.158+0100,matthiasmueller,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-54,2019-02-22T09:13:14.158+0100,matthiasmueller,PAINTROID
Code Reviewer,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-54,2019-02-22T09:13:14.158+0100,matthiasmueller,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-54,2019-02-22T09:13:48.536+0100,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-54,2019-02-22T09:50:41.595+0100,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-54,2019-02-22T09:50:41.595+0100,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-54,2019-02-22T09:50:41.595+0100,matthiasmueller,PAINTROID
Fix Version,jira,,,13406,2.3.0,PAINTROID-54,2019-03-04T15:38:33.460+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-53,2019-02-07T10:32:34.715+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-53,2019-02-07T10:32:36.045+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-53,2019-02-07T11:39:10.426+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-53,2019-02-07T11:39:10.426+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-53,2019-02-07T11:39:10.426+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-53,2019-02-07T14:35:21.780+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-53,2019-02-07T14:35:21.780+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-53,2019-02-10T16:33:32.665+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-53,2019-02-10T16:33:34.270+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-53,2019-02-10T16:33:34.270+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-53,2019-02-10T16:33:34.270+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-53,2019-02-10T16:33:36.236+0100,thomasschwengler,PAINTROID
resolution,jira,,,6,Done,PAINTROID-53,2019-02-10T16:33:37.655+0100,thomasschwengler,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-53,2019-02-10T16:33:37.655+0100,thomasschwengler,PAINTROID
Code Merger,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-53,2019-02-10T16:33:37.655+0100,thomasschwengler,PAINTROID
Fix Version,jira,,,13406,2.3.0,PAINTROID-53,2019-03-04T15:38:33.390+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-52,2019-02-07T10:31:21.620+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-52,2019-02-07T10:31:22.930+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-52,2019-02-11T12:02:55.193+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-52,2019-02-11T12:02:55.193+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-52,2019-02-11T12:02:55.193+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-52,2019-02-11T13:22:47.017+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-52,2019-02-11T13:22:47.017+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-52,2019-02-13T11:23:01.071+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-52,2019-02-13T11:23:02.288+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-52,2019-02-13T11:23:02.288+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-52,2019-02-13T11:23:02.288+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-52,2019-02-13T11:25:23.940+0100,thomasschwengler,PAINTROID
resolution,jira,,,6,Done,PAINTROID-52,2019-02-13T11:26:50.115+0100,thomasschwengler,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-52,2019-02-13T11:26:50.115+0100,thomasschwengler,PAINTROID
Code Merger,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-52,2019-02-13T11:26:50.115+0100,thomasschwengler,PAINTROID
Fix Version,jira,,,13406,2.3.0,PAINTROID-52,2019-03-04T15:38:33.324+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-51,2019-02-07T10:29:43.184+0100,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-51,2019-02-07T10:29:45.780+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-51,2019-02-07T10:54:22.931+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-51,2019-02-07T10:54:22.931+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-51,2019-02-07T10:54:22.931+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-51,2019-02-07T11:37:19.174+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-51,2019-02-07T11:37:19.174+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-51,2019-02-10T17:21:44.429+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-51,2019-02-10T17:21:46.061+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-51,2019-02-10T17:21:46.061+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-51,2019-02-10T17:21:46.061+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-51,2019-02-10T17:21:49.447+0100,thomasschwengler,PAINTROID
resolution,jira,,,6,Done,PAINTROID-51,2019-02-10T17:22:42.927+0100,thomasschwengler,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-51,2019-02-10T17:22:42.927+0100,thomasschwengler,PAINTROID
Code Merger,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-51,2019-02-10T17:22:42.927+0100,thomasschwengler,PAINTROID
Fix Version,jira,,,13406,2.3.0,PAINTROID-51,2019-03-04T15:38:33.262+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-50,2019-01-17T13:58:09.007+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-50,2019-01-17T13:58:10.480+0100,thomasschwengler,PAINTROID
Rank,custom,,,,Ranked higher,PAINTROID-50,2019-01-17T13:58:20.330+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-50,2019-01-17T14:00:51.120+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-50,2019-01-17T14:00:51.120+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-50,2019-01-17T14:00:51.120+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-50,2019-01-28T13:30:27.286+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-50,2019-01-28T13:30:27.286+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-50,2019-01-29T17:14:00.163+0100,thomasschwengler,PAINTROID
